DepMap_ID,cell_line_name,CELL_LINE_NAME,alias,COSMIC_ID,sample_collection_site,Sanger_Model_ID
ACH-000056,DOHH-2,DOHH2,,906842,pleural_effusion,SIDM00981
ACH-000057,OPM-1,OPM1,,,haematopoietic_and_lymphoid_tissue,SIDM00456
ACH-000058,ML-1,ML1,,1240178,thyroid,SIDM00442
ACH-000059,SUP-B15,SUPB15,,1247871,bone_marrow,SIDM01176
ACH-000060,Panc 10.05,PANC1005,,925348,pancreas,SIDM01135
ACH-000061,HH,HH,,907056,haematopoietic_and_lymphoid_tissue,SIDM00671
ACH-000062,RERF-LC-MS,RERFLCMS,,910931,lung,SIDM00355
ACH-000063,,HS616T,,,fibroblast,
ACH-000065,OCI-AML5,OCIAML5,,1330983,haematopoietic_and_lymphoid_tissue,SIDM00461
ACH-000066,HCC4006,HCC4006,,,pleural_effusion,
ACH-000067,Hs 683,HS683,,1240150,central_nervous_system,SIDM00666
ACH-000069,Hs 611.T,HS611T,,,haematopoietic_and_lymphoid_tissue,
ACH-000070,697,697,,906800,bone_marrow,SIDM01076
ACH-000072,MEG-01,MEG01,,908126,bone_marrow,SIDM00526
ACH-000073,GRANTA-519,GRANTA519,,1303897,haematopoietic_and_lymphoid_tissue,SIDM01058
ACH-000074,KU812,KU812,,907311,haematopoietic_and_lymphoid_tissue,SIDM00308
ACH-000075,U-87 MG,U87MG,,687590,central_nervous_system,SIDM01189
ACH-000078,MHH-NB-11,MHHNB11,,908135,autonomic_ganglia,SIDM00387
ACH-000080,BDCM,BDCM,,,haematopoietic_and_lymphoid_tissue,
ACH-000081,GDM-1,GDM1,,906870,haematopoietic_and_lymphoid_tissue,SIDM01057
ACH-000082,"G-292, clone A141B1",G292CLONEA141B1,"G292CLONEA141B1, G-292 clone A141B1",1290807,bone,SIDM00858
ACH-000083,Hs 281.T,HS281T,,,fibroblast,
ACH-000085,T3M-4,T3M4,,,lymph_node,
ACH-000086,ACC-MESO-1,ACCMESO1,,,pleura,
ACH-000087,SK-ES-1,SKES1,,684072,bone,SIDM01111
ACH-000088,,HS172T,,,fibroblast,
ACH-000090,PC-3,PC3,,905934,bone,SIDM00088
ACH-000091,OV56,OV56,,1480362,ascites,SIDM00475
ACH-000092,NCI-H2452,NCIH2452,,908462,pleura,SIDM00722
ACH-000094,HPAF-II,HPAFII,,724869,ascites,SIDM00669
ACH-000095,D341,D341,D341MED,,central_nervous_system,
ACH-000096,G-401,G401,,907299,kidney,SIDM00856
ACH-000097,ZR-75-1,ZR751,,,ascites,SIDM00314
ACH-000098,GAMG,GAMG,,906868,central_nervous_system,SIDM01055
ACH-000099,SIMA,SIMA,,753620,autonomic_ganglia,SIDM00395
ACH-000100,RH-41,RH41,,1240210,liver,SIDM00426
ACH-000101,KE-37,KE37,,907277,haematopoietic_and_lymphoid_tissue,SIDM01003
ACH-000102,GMS-10,GMS10,,906873,central_nervous_system,SIDM01074
ACH-000103,Caov-4,CAOV4,,949090,ovary,SIDM00918
ACH-000104,Loucy,LOUCY,,907789,haematopoietic_and_lymphoid_tissue,SIDM00342
ACH-000105,ALL-SIL,ALLSIL,,1295740,haematopoietic_and_lymphoid_tissue,SIDM00994
ACH-000106,JVM-2,JVM2,,907269,haematopoietic_and_lymphoid_tissue,SIDM01013
ACH-000107,Capan-2,CAPAN2,,910915,pancreas,SIDM00943
ACH-000108,KP-3,KP3,,1298219,liver,SIDM00571
ACH-000109,NCI-H3255,NCIH3255,,,lung,SIDM00046
ACH-000111,HCC1187,HCC1187,,749711,breast,SIDM00885
ACH-000112,SIG-M5,SIGM5,,909715,bone_marrow,SIDM00396
ACH-000113,OCI-AML2,OCIAML2,,910947,haematopoietic_and_lymphoid_tissue,SIDM00446
ACH-000114,SU.86.86,SU8686,,1240218,liver,SIDM01188
ACH-000115,VCaP,VCAP,,1299075,bone,SIDM01077
ACH-000116,OAW28,OAW28,,946360,ascites,SIDM00481
ACH-000117,EFM-192A,EFM192A,,1290798,pleural_effusion,SIDM01002
ACH-000118,HUP-T3,HUPT3,,907285,ascites,SIDM00533
ACH-000120,CHP-212,CHP212,,906820,central_nervous_system,SIDM00910
ACH-000121,NCI-H2405,NCIH2405,,687821,ascites,SIDM00724
ACH-000123,COV434,COV434,,,ovary,
ACH-000124,OCI-LY-19,OCILY19,,1330984,bone_marrow,SIDM00460
ACH-000126,KG-1-C,KG1C,,,central_nervous_system,SIDM00784
ACH-000127,SLR 20,SLR20,,,urinary_tract,
ACH-000128,LN-319,LN319,,,central_nervous_system,
ACH-000129,NCI-H1341,NCIH1341,,1330964,cervix,SIDM00646
ACH-000131,Hs 229.T,HS229T,,,fibroblast,
ACH-000132,JHOS-2,JHOS2,,1479995,ovary,SIDM00305
ACH-000133,Hs 729,HS729,,,,
ACH-000134,HS274T,HS274T,,,fibroblast,
ACH-000135,Hs 940.T,HS940T,,1298145,fibroblast,SIDM00662
ACH-000136,CHP-126,CHP126,,910567,autonomic_ganglia,SIDM00286
ACH-000137,8-MG-BA,8MGBA,,687562,central_nervous_system,SIDM00998
ACH-000138,CFPAC-1,CFPAC1,,906821,liver,SIDM00130
ACH-000139,Panc 03.27,PANC0327,,925346,pancreas,SIDM01138
ACH-000141,SNU-308,SNU308,,,biliary_tract,SIDM00161
ACH-000142,CAL-29,CAL29,,1290730,urinary_tract,SIDM00936
ACH-000143,,HCC2429,,,lung,
ACH-000144,RERF-GC-1B,RERFGC1B,,1240209,lymph_node,SIDM00358
ACH-000145,SK-LMS-1,SKLMS1,,909720,soft_tissue,SIDM01109
ACH-000146,THP-1,THP1,,909771,haematopoietic_and_lymphoid_tissue,SIDM01172
ACH-000147,T-47D,T47D,,905945,pleural_effusion,SIDM00097
ACH-000148,Hs 578T,HS578T,,905957,breast,SIDM00135
ACH-000149,SK-N-SH,SKNSH,,717431,bone_marrow,SIDM01098
ACH-000150,HCC2935,HCC2935,,,pleural_effusion,
ACH-000151,JM1,JM1,,1327768,haematopoietic_and_lymphoid_tissue,SIDM00689
ACH-000152,M059K,M059K,,,central_nervous_system,SIDM00639
ACH-000153,NCI-H2052,NCIH2052,,688058,pleural_effusion,SIDM00713
ACH-000155,SW 1990,SW1990,,910907,spleen,SIDM01165
ACH-000156,MHH-CALL-4,MHHCALL4,,908133,haematopoietic_and_lymphoid_tissue,SIDM00376
ACH-000157,A4/Fuk,A4FUK,,910934,ascites,SIDM00502
ACH-000159,OS-RC-2,OSRC2,,909250,kidney,SIDM00239
ACH-000160,BT-12,BT12,,,soft_tissue,
ACH-000161,COR-L105,CORL105,,906805,pleural_effusion,SIDM00513
ACH-000162,GA-10,GA10,,1303896,haematopoietic_and_lymphoid_tissue,SIDM00854
ACH-000163,SW579,SW579,,,thyroid,SIDM01167
ACH-000164,PANC-1,PANC1,,,pancreas,SIDM00610
ACH-000167,KE-97,KE97,,,abdomen,
ACH-000168,NOMO-1,NOMO1,,908451,bone_marrow,SIDM00580
ACH-000169,RD,RD,,909264,soft_tissue,SIDM00847
ACH-000171,VMRC-RCZ,VMRCRCZ,,909781,kidney,SIDM00317
ACH-000174,CAL-62,CAL62,,906828,pleural_effusion,SIDM00931
ACH-000176,LOU-NH91,LOUNH91,,1298226,lung,SIDM00341
ACH-000177,NCI-H660,NCIH660,,1330975,lymph_node,SIDM01123
ACH-000178,Hs 766T,HS766T,,1298141,lymph_node,SIDM00664
ACH-000181,SCC-9,SCC9,,909709,upper_aerodigestive_tract,SIDM01080
ACH-000182,SNU-869,SNU869,,,biliary_tract,SIDM00159
ACH-000183,L-363,L363,,924239,haematopoietic_and_lymphoid_tissue,SIDM00312
ACH-000184,Hs  343.T,HS343T,,,fibroblast,
ACH-000186,NCI-H2444,NCIH2444,,1298356,lung,SIDM00723
ACH-000187,COR-L311,CORL311,,687980,lung,SIDM00509
ACH-000188,SCC-25,SCC25,,910701,upper_aerodigestive_tract,SIDM01082
ACH-000189,RCC10RGB,RCC10RGB,,909974,kidney,SIDM00235
ACH-000190,HD-MY-Z,HDMYZ,,907050,pleural_effusion,SIDM01063
ACH-000191,BHT-101,BHT101,,906696,lymph_node,SIDM00987
ACH-000192,MFE-280,MFE280,,908129,endometrium,SIDM00335
ACH-000193,KARPAS-620,KARPAS620,,1327775,haematopoietic_and_lymphoid_tissue,SIDM01006
ACH-000195,Set-2,SET2,,,haematopoietic_and_lymphoid_tissue,SIDM00397
ACH-000196,HCC1599,HCC1599,,749713,breast,SIDM00877
ACH-000197,TALL-1,TALL1,,909762,bone_marrow,SIDM00370
ACH-000198,EOL-1,EOL1,,906856,haematopoietic_and_lymphoid_tissue,SIDM00277
ACH-000199,HS255T,HS255T,,,fibroblast,
ACH-000200,NMC-G1,NMCG1,,908449,central_nervous_system,SIDM00575
ACH-000201,A-204,A204,,910784,soft_tissue,SIDM00798
ACH-000202,COLO-320,COLO320,,,large_intestine,SIDM00071
ACH-000203,NH-6,NH6,,,autonomic_ganglia,
ACH-000204,LP-1,LP1,,907791,haematopoietic_and_lymphoid_tissue,SIDM00340
ACH-000206,,C8166,,,haematopoietic_and_lymphoid_tissue,SIDM00072
ACH-000207,Detroit 562,DETROIT562,,906837,pleural_effusion,SIDM00831
ACH-000208,U-178,U178,,,central_nervous_system,
ACH-000209,SNU-1079,SNU1079,,,biliary_tract,SIDM00164
ACH-000210,CADO-ES1,CADOES1,CADO-ES-1,753539,pleural_effusion,SIDM00961
ACH-000211,Daoy,DAOY,,906833,central_nervous_system,SIDM00887
ACH-000212,CAL-120,CAL120,,906826,pleural_effusion,SIDM00940
ACH-000213,HUP-T4,HUPT4,,907286,ascites,SIDM00531
ACH-000214,,HS675T,,,fibroblast,
ACH-000215,LN382,LN382,LN-382,,central_nervous_system,
ACH-000217,JHH-6,JHH6,,1240159,liver,SIDM00615
ACH-000218,PL-21,PL21,,1330991,haematopoietic_and_lymphoid_tissue,SIDM00450
ACH-000219,A-375,A375,,906793,skin,SIDM00795
ACH-000221,SNU-398,SNU398,,1240217,liver,SIDM01181
ACH-000222,AsPC-1,ASPC1,,910702,ascites,SIDM00899
ACH-000223,HCC1937,HCC1937,,749714,breast,SIDM00874
ACH-000225,ECC12,ECC12,,906849,stomach,SIDM00279
ACH-000226,SUP-M2,SUPM2,,1331040,central_nervous_system,SIDM00421
ACH-000227,KP-N-YN,KPNYN,,907314,lymph_node,SIDM00556
ACH-000228,BICR 31,BICR31,,1290725,upper_aerodigestive_tract,SIDM00078
ACH-000231,KALS-1,KALS1,,907271,central_nervous_system,SIDM00613
ACH-000232,U-251 MG,U251MG,U251-MG,905983,central_nervous_system,SIDM00111
ACH-000233,DEL,DEL,,906836,pleural_effusion,SIDM00949
ACH-000234,Caki-2,CAKI2,,,kidney,
ACH-000235,Panc 04.03,PANC0403,,1298476,pancreas,SIDM01137
ACH-000236,SW1417,SW1417,,909747,Colon,SIDM00812
ACH-000237,JHOM-1,JHOM1,,,ovary,
ACH-000238,SCC-4,SCC4,,910904,upper_aerodigestive_tract,SIDM01081
ACH-000240,,HS600T,Hs 600.T,,fibroblast,
ACH-000242,RT4,RT4,,687455,urinary_tract,SIDM01085
ACH-000243,DAN-G,DANG,,1290797,pancreas,SIDM00950
ACH-000244,DK-MG,DKMG,,906839,central_nervous_system,SIDM00947
ACH-000245,BL-41,BL41,,910706,haematopoietic_and_lymphoid_tissue,SIDM00985
ACH-000246,SLR 23,SLR23,,,kidney,
ACH-000247,OCUM-1,OCUM1,,1298358,stomach,SIDM00568
ACH-000248,AU565,AU565,,910704,pleural_effusion,SIDM00898
ACH-000249,CL-11,CL11,,1290769,Colon,SIDM00944
ACH-000250,KMRC-20,KMRC20,,1298169,kidney,SIDM00609
ACH-000251,,NCIH2887,NCI-H2887,,lung,
ACH-000252,LS1034,LS1034,,917486,large_intestine,SIDM00681
ACH-000253,COLO 201,COLO201,,,ascites,SIDM00823
ACH-000254,SCC-15,SCC15,,910911,upper_aerodigestive_tract,SIDM01083
ACH-000255,LMSU,LMSU,,,lymph_node,
ACH-000256,COV318,COV318,,,ascites,
ACH-000257,COR-L279,CORL279,,910937,lymph_node,SIDM00511
ACH-000258,Du4475,DU4475,,906844,skin,SIDM01001
ACH-000259,KELLY,KELLY,,753618,autonomic_ganglia,SIDM01009
ACH-000260,SK-N-AS,SKNAS,,724828,bone_marrow,SIDM01101
ACH-000261,RERF-LC-AI,RERFLCAI,,,pleural_effusion,SIDM00307
ACH-000262,UOK101,UOK101,,,kidney,
ACH-000263,KASUMI-1,KASUMI1,,907275,haematopoietic_and_lymphoid_tissue,SIDM01005
ACH-000264,Calu-6,CALU6,,724859,pleural_effusion,SIDM00921
ACH-000265,KP4,KP4,,753572,ascites,SIDM00301
ACH-000266,SNU-213,SNU213,,,pancreas,
ACH-000267,HDLM-2,HDLM2,,924110,pleural_effusion,SIDM01064
ACH-000268,SNU-245,SNU245,,,biliary_tract,SIDM00162
ACH-000269,AM-38,AM38,,910933,central_nervous_system,SIDM00492
ACH-000270,HPAC,HPAC,,1298136,pancreas,SIDM00670
ACH-000271,SU-DHL-10,SUDHL10,,1331033,pleural_effusion,SIDM00389
ACH-000272,SLR 24,SLR24,,,kidney,
ACH-000273,SF539,SF539,,905984,central_nervous_system,SIDM00083
ACH-000274,Hs 852.T,HS852T,,,skin,
ACH-000276,HCC38,HCC38,,749717,breast,SIDM00675
ACH-000277,HCC1419,HCC1419,,907045,breast,SIDM00882
ACH-000278,COV362,COV362,,,pleural_effusion,
ACH-000279,EWS502,EWS502,,,bone,
ACH-000280,SNU-840,SNU840,,,ovary,
ACH-000281,KP-2,KP2,,1298218,pancreas,SIDM00582
ACH-000282,NCI-H1755,NCIH1755,,908475,liver,SIDM00738
ACH-000283,A1207,A1207,,,central_nervous_system,
ACH-000286,SNU-1033,SNU1033,,,large_intestine,SIDM00192
ACH-000287,NU-DUL-1,NUDUL1,,1330982,central_nervous_system,SIDM00443
ACH-000289,SNU-466,SNU466,,,central_nervous_system,
ACH-000290,NCI-H209,NCIH209,H209,688013,bone_marrow,SIDM00706
ACH-000291,OV-90,OV90,,1240197,ascites,SIDM01141
ACH-000292,NCI-H841,NCIH841,,1240192,lung,SIDM01134
ACH-000293,KLE,KLE,,924187,endometrium,SIDM00686
ACH-000294,NB-4,NB4,,1323913,bone_marrow,SIDM00428
ACH-000295,EM-2,EM2,,906855,bone_marrow,SIDM01047
ACH-000296,OUMS-23,OUMS23,,,pericardial_effusion,SIDM00036
ACH-000298,NCI-H2029,NCIH2029,,688011,lymph_node,SIDM00735
ACH-000299,,HNT34,HNT-34,,haematopoietic_and_lymphoid_tissue,
ACH-000301,LAMA-84,LAMA84,,907783,haematopoietic_and_lymphoid_tissue,SIDM00346
ACH-000302,SNU-1077,SNU1077,,,endometrium,SIDM00166
ACH-000303,SNU-5,SNU5,,908445,ascites,SIDM01144
ACH-000304,WM-115,WM115,,909784,skin,SIDM01000
ACH-000305,EC-GI-10,ECGI10,,753555,lymph_node,SIDM00278
ACH-000306,Hs 688(A).T,HS688AT,,,fibroblast,
ACH-000307,PK-1,PK1,,,liver,
ACH-000308,EFO-21,EFO21,,911905,ascites,SIDM01052
ACH-000309,SK-LU-1,SKLU1,,909721,lung,SIDM01108
ACH-000310,IMR-32,IMR32,,,abdomen,SIDM00226
ACH-000311,NCI-H2122,NCIH2122,,722046,pleural_effusion,SIDM00702
ACH-000312,SK-N-BE(2),SKNBE2,,,bone_marrow,SIDM00894
ACH-000314,HCC-2108,HCC2108,,,lung,
ACH-000315,KARPAS-422,KARPAS422,,907274,pleural_effusion,SIDM01008
ACH-000316,SNU-886,SNU886,,,liver,
ACH-000317,TUHR14TKB,TUHR14TKB,,,kidney,
ACH-000318,TE-10,TE10,,753622,oesophagus,SIDM00349
ACH-000319,MPP 89,MPP89,,908150,pleural_effusion,SIDM00222
ACH-000320,PSN1,PSN1,GR-M,910546,pancreas,SIDM00469
ACH-000322,HT-144,HT144,,907067,skin,SIDM00695
ACH-000323,42-MG-BA,42MGBA,,687561,central_nervous_system,SIDM00982
ACH-000324,JHOC-5,JHOC5,,,ovary,
ACH-000326,JURL-MK1,JURLMK1,,1327771,haematopoietic_and_lymphoid_tissue,SIDM01015
ACH-000327,NCI-H1395,NCIH1395,,684681,lung,SIDM00644
ACH-000329,CCF-STTG1,CCFSTTG1,,906823,central_nervous_system,SIDM00131
ACH-000330,EFM-19,EFM19,,906851,pleural_effusion,SIDM01056
ACH-000331,IST-MES2,ISTMES2,IST-MES-2,,pleural_effusion,
ACH-000332,YAPC,YAPC,,909904,ascites,SIDM00411
ACH-000334,DB,DB,,906832,ascites,SIDM00886
ACH-000335,MSTO-211H,MSTO211H,,908152,pleural_effusion,SIDM00640
ACH-000336,OCI-AML3,OCIAML3,,1290455,haematopoietic_and_lymphoid_tissue,SIDM00462
ACH-000337,NCI-H3122,NCIH3122,,1240190,lung,SIDM00137
ACH-000338,SR-786,SR786,SR,905965,pleural_effusion,SIDM00096
ACH-000339,,HCC461,,,lung,
ACH-000341,SK-N-FI,SKNFI,,688087,bone_marrow,SIDM01099
ACH-000342,CL-14,CL14,,,large_intestine,
ACH-000343,NCI-H522,NCIH522,,905944,lung,SIDM00116
ACH-000344,SNU-668,SNU668,,,ascites,
ACH-000345,KP-N-RT-BM-1,KPNRTBM1,,924189,bone_marrow,SIDM00557
ACH-000346,JVM-3,JVM3,,907270,haematopoietic_and_lymphoid_tissue,SIDM01012
ACH-000347,QGP-1,QGP1,,1298534,pancreas,SIDM00360
ACH-000348,RPMI-7951,RPMI7951,,910903,lymph_node,SIDM01087
ACH-000349,HCC1500,HCC1500,,1303900,breast,SIDM00879
ACH-000350,COLO-678,COLO678,,910689,lymph_node,SIDM00957
ACH-000351,MKN1,MKN1,,908138,lymph_node,SIDM00271
ACH-000352,HCC1428,HCC1428,,1290905,pleural_effusion,SIDM00881
ACH-000353,TE-15,TE15,,753614,oesophagus,SIDM00249
ACH-000354,Capan-1,CAPAN1,,753624,liver,SIDM00934
ACH-000355,NCI-H82,NCIH82,,688031,pleural_effusion,SIDM01131
ACH-000356,MKN-45,MKN45,,925340,liver,SIDM00247
ACH-000357,JeKo-1,JEKO1,,1327765,haematopoietic_and_lymphoid_tissue,SIDM01038
ACH-000358,NCI-H69,NCIH69,,688027,pleural_effusion,SIDM01121
ACH-000359,MG-63,MG63,,908131,bone,SIDM00525
ACH-000360,NCI-H508,NCIH508,,908442,abdomen,SIDM00777
ACH-000361,SK-HEP-1,SKHEP1,,909719,ascites,SIDM01110
ACH-000362,MOLM-13,MOLM13,,1330947,haematopoietic_and_lymphoid_tissue,SIDM00437
ACH-000363,SK-MM-2,SKMM2,,753612,haematopoietic_and_lymphoid_tissue,SIDM00391
ACH-000364,U-2 OS,U2OS,"U2-OS, U-2 OS",909776,bone,SIDM01191
ACH-000365,SU-DHL-4,SUDHL4,,1331035,pleural_effusion,SIDM00405
ACH-000366,SK-N-DZ,SKNDZ,,688086,bone_marrow,SIDM01100
ACH-000367,NCI-H226,NCIH226,,905941,pleural_effusion,SIDM00139
ACH-000368,SNU-1105,SNU1105,,,central_nervous_system,
ACH-000369,MOLM-16,MOLM16,,1330948,haematopoietic_and_lymphoid_tissue,SIDM00435
ACH-000370,SNU-626,SNU626,,,central_nervous_system,
ACH-000371,RL,RL,,910861,ascites,SIDM01089
ACH-000372,P12-ICHIKAWA,P12ICHIKAWA,,909251,haematopoietic_and_lymphoid_tissue,SIDM00463
ACH-000373,SKM-1,SKM1,,909722,haematopoietic_and_lymphoid_tissue,SIDM00380
ACH-000374,HCC1143,HCC1143,,749710,breast,SIDM00866
ACH-000375,G-402,G402,,907298,kidney,SIDM00855
ACH-000376,SF-295,SF295,,905985,central_nervous_system,SIDM00084
ACH-000377,SNU-478,SNU478,,,biliary_tract,SIDM00160
ACH-000378,NCI-H647,NCIH647,,1240191,pleural_effusion,SIDM01125
ACH-000379,NCI-H1781,NCIH1781,,1298350,pleural_effusion,SIDM00754
ACH-000380,KMS-12-BM,KMS12BM,,907281,bone_marrow,SIDM01020
ACH-000381,T84,T84,,909761,lung,SIDM00782
ACH-000382,COR-L24,CORL24,,,lymph_node,
ACH-000383,OE33,OE33,,910549,oesophagus,SIDM00477
ACH-000384,SW 780,SW780,,687457,urinary_tract,SIDM01160
ACH-000386,KG-1,KG1,,907278,bone_marrow,SIDM00785
ACH-000387,TF-1,TF1,,,bone_marrow,
ACH-000389,H4,H4,,907042,central_nervous_system,SIDM00852
ACH-000390,LUDLU-1,LUDLU1,,,lung,
ACH-000391,MHH-ES-1,MHHES1,,908134,ascites,SIDM00386
ACH-000392,Calu-3,CALU3,,687777,pleural_effusion,SIDM00922
ACH-000393,HLF,HLF,,,liver,SIDM00065
ACH-000394,NCI-H2081,NCIH2081,,908480,pleural_effusion,SIDM00710
ACH-000395,NCI-H520,NCIH520,,908443,lung,SIDM01130
ACH-000396,J82,J82,,753566,urinary_tract,SIDM00693
ACH-000397,TEN,TEN,,,endometrium,
ACH-000399,NCI-H2196,NCIH2196,,908481,bone_marrow,SIDM00731
ACH-000400,SK-CO-1,SKCO1,,909718,ascites,SIDM01096
ACH-000401,COLO-800,COLO800,,906813,skin,SIDM00515
ACH-000402,BL-70,BL70,,,haematopoietic_and_lymphoid_tissue,SIDM00074
ACH-000403,NCI-H747,NCIH747,,908457,large_intestine,SIDM00778
ACH-000404,K029AX,K029AX,,,skin,
ACH-000405,MEC-1,MEC1,,,haematopoietic_and_lymphoid_tissue,SIDM00001
ACH-000406,U-937,U937,,,pleural_effusion,SIDM01195
ACH-000407,SNU-685,SNU685,,,endometrium,SIDM00165
ACH-000408,TE-5,TE5,,735784,oesophagus,SIDM00347
ACH-000409,OVSAHO,OVSAHO,,,abdomen,
ACH-000410,Saos-2,SAOS2,,909707,bone,SIDM01084
ACH-000411,769-P,769P,,910922,kidney,SIDM00803
ACH-000412,SNU-1197,SNU1197,,,Colon,SIDM00171
ACH-000414,NCI-H1944,NCIH1944,,1240185,soft_tissue,SIDM00762
ACH-000415,BICR 6,BICR6,,,upper_aerodigestive_tract,
ACH-000416,NCI-H838,NCIH838,,910399,lymph_node,SIDM01150
ACH-000417,Panc 08.13,PANC0813,,925347,pancreas,SIDM01136
ACH-000420,SNU-449,SNU449,,909738,liver,SIDM01194
ACH-000421,SW837,SW837,,909755,large_intestine,SIDM00833
ACH-000422,SNU-475,SNU475,,909739,liver,SIDM01196
ACH-000423,SK-MEL-3,SKMEL3,,909724,lymph_node,SIDM01105
ACH-000424,TC-71,TC71,,1240221,bone,SIDM00419
ACH-000425,UACC-62,UACC62,,905976,skin,SIDM00107
ACH-000426,KMS-20,KMS20,,,bone_marrow,
ACH-000427,NCI-N87,NCIN87,,908461,liver,SIDM01147
ACH-000428,UO-31,UO31,,905981,kidney,SIDM00112
ACH-000429,A-704,A704,,910920,kidney,SIDM00849
ACH-000430,TYK-nu,TYKNU,,909774,ovary,SIDM00321
ACH-000431,NCI-H1694,NCIH1694,,688006,ascites,SIDM00741
ACH-000432,BV-173,BV173,,910710,haematopoietic_and_lymphoid_tissue,SIDM00962
ACH-000433,Caki-1,CAKI1,,905963,skin,SIDM00941
ACH-000434,NCI-H1915,NCIH1915,,1240184,central_nervous_system,SIDM00763
ACH-000435,EFE-184,EFE184,,,ascites,
ACH-000436,OCI-My7,OCIMY7,OCI-MY7,,haematopoietic_and_lymphoid_tissue,
ACH-000437,SW 1088,SW1088,,909745,central_nervous_system,SIDM01155
ACH-000438,,LU65,,724863,lung,SIDM00547
ACH-000439,ME-1,ME1,,1330942,haematopoietic_and_lymphoid_tissue,SIDM00338
ACH-000440,CA46,CA46,,910703,ascites,SIDM00907
ACH-000441,SH-4,SH4,,909713,pleural_effusion,SIDM01079
ACH-000442,RERF-LC-Sq1,RERFLCSQ1,,1298538,lung,SIDM00354
ACH-000443,OVKATE,OVKATE,,1240199,ovary,SIDM00466
ACH-000444,LU99,LU99,,,pleura,SIDM00546
ACH-000445,KNS-60,KNS60,,,central_nervous_system,
ACH-000446,KP-N-SI9s,KPNSI9S,,,autonomic_ganglia,
ACH-000447,NCI-H2228,NCIH2228,,687816,lung,SIDM00729
ACH-000448,NCI-H1666,NCIH1666,,908473,pleural_effusion,SIDM00743
ACH-000449,MES-SA,MESSA,,908127,endometrium,SIDM00625
ACH-000450,MEL-HO,MELHO,,908124,skin,SIDM00337
ACH-000451,NCI-H2085,NCIH2085,,687812,lung,SIDM00709
ACH-000452,TE-8,TE8,,753623,oesophagus,SIDM00326
ACH-000454,HCC-95,HCC95,,,pleural_effusion,
ACH-000456,B-CPAP,BCPAP,,924104,thyroid,SIDM00992
ACH-000457,CAL-54,CAL54,,910952,pleural_effusion,SIDM00932
ACH-000458,CJM,CJM,,,skin,
ACH-000459,TUHR10TKB,TUHR10TKB,,,kidney,
ACH-000460,SNU-8,SNU8,,,ascites,
ACH-000461,SNU-1196,SNU1196,,,biliary_tract,SIDM00163
ACH-000463,NCI-H460,NCIH460,,905943,pleural_effusion,SIDM00144
ACH-000464,CAS-1,CAS1,,910943,central_nervous_system,SIDM00212
ACH-000465,SK-MEL-1,SKMEL1,,909723,haematopoietic_and_lymphoid_tissue,SIDM01107
ACH-000466,SNU-216,SNU216,,,lymph_node,
ACH-000468,PK-45H,PK45H,,,pancreas,
ACH-000469,YH-13,YH13,,909905,central_nervous_system,SIDM00316
ACH-000470,SW1463,SW1463,,909748,large_intestine,SIDM00834
ACH-000471,Li-7,LI7,,,liver,
ACH-000472,HSC-2,HSC2,,753562,upper_aerodigestive_tract,SIDM00590
ACH-000473,RT-112,RT112,,909704,urinary_tract,SIDM00402
ACH-000475,huH-1,HUH1,,1298146,liver,SIDM00586
ACH-000476,JHH-4,JHH4,,1240158,liver,SIDM00616
ACH-000477,Malme-3M,MALME3M,,,lung,SIDM00011
ACH-000478,SNU-387,SNU387,,909736,liver,SIDM01180
ACH-000479,KNS-81,KNS81,,,central_nervous_system,SIDM00605
ACH-000480,HuH-7,HUH7,,907071,liver,SIDM00585
ACH-000481,NCI-H2170,NCIH2170,,687815,lung,SIDM00716
ACH-000482,RERF-LC-KJ,RERFLCKJ,,1298537,lung,SIDM00356
ACH-000483,SNU-182,SNU182,,1240216,liver,SIDM01151
ACH-000484,VMRC-RCW,VMRCRCW,,1240224,kidney,SIDM00318
ACH-000485,GSU,GSU,,,ascites,
ACH-000486,KU-19-19,KU1919,,907312,urinary_tract,SIDM01033
ACH-000487,F-36P,F36P,,,pleural_effusion,
ACH-000488,TE-11,TE11,,946354,oesophagus,SIDM00348
ACH-000489,SW1116,SW1116,,909746,Colon,SIDM00835
ACH-000490,SF767,SF767,,,abdomen,SIDM00626
ACH-000491,NCI-H716,NCIH716,,908458,ascites,SIDM00779
ACH-000493,SNU-423,SNU423,,909737,liver,SIDM01199
ACH-000495,TUHR4TKB,TUHR4TKB,,,kidney,
ACH-000496,NCI-H1792,NCIH1792,,724868,pleural_effusion,SIDM00771
ACH-000498,KO52,KO52,,1330932,bone_marrow,SIDM00018
ACH-000499,EW8,EW8,,,bone,
ACH-000500,SNU-46,SNU46,,,upper_aerodigestive_tract,
ACH-000501,LS123,LS123,,907792,Colon,SIDM00776
ACH-000502,TCC-PAN2,TCCPAN2,,,ascites,
ACH-000503,BICR 16,BICR16,,,upper_aerodigestive_tract,
ACH-000504,SNB75,SNB75,,905982,central_nervous_system,SIDM00095
ACH-000505,RKN,RKN,,1298539,ovary,SIDM00353
ACH-000506,NCI-H146,NCIH146,,910899,bone_marrow,SIDM00698
ACH-000507,KE-39,KE39,,,lymph_node,
ACH-000508,COR-L88,CORL88,,906808,pleural_effusion,SIDM00506
ACH-000509,HuT 78,HUT78,,,haematopoietic_and_lymphoid_tissue,SIDM00851
ACH-000510,NCI-H1299,NCIH1299,,724831,lymph_node,SIDM00649
